##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	F6703_372760_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24065275
Total Bases	3.6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	53
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.93496733363737	40.0	40.0	40.0	40.0	40.0
2	39.09127803442927	40.0	40.0	40.0	40.0	40.0
3	38.95955604080984	40.0	40.0	40.0	40.0	40.0
4	38.999811720414584	40.0	40.0	40.0	40.0	40.0
5	38.94636458548676	40.0	40.0	40.0	40.0	40.0
6	38.9264497496912	40.0	40.0	40.0	40.0	40.0
7	38.9376815349087	40.0	40.0	40.0	40.0	40.0
8	38.93499883130361	40.0	40.0	40.0	40.0	40.0
9	38.942721161507606	40.0	40.0	40.0	40.0	40.0
10-14	38.91551754966441	40.0	40.0	40.0	40.0	40.0
15-19	38.89446770086774	40.0	40.0	40.0	40.0	40.0
20-24	38.86474538936289	40.0	40.0	40.0	40.0	40.0
25-29	38.734343056541015	40.0	40.0	40.0	40.0	40.0
30-34	38.67050436780797	40.0	40.0	40.0	40.0	40.0
35-39	38.63524509900677	40.0	40.0	40.0	40.0	40.0
40-44	38.62524163966545	40.0	40.0	40.0	40.0	40.0
45-49	38.63178924820099	40.0	40.0	40.0	40.0	40.0
50-54	38.53200439222074	40.0	40.0	40.0	40.0	40.0
55-59	38.48683318183565	40.0	40.0	40.0	40.0	40.0
60-64	38.44530951755174	40.0	40.0	40.0	40.0	40.0
65-69	38.42713228915938	40.0	40.0	40.0	40.0	40.0
70-74	38.42716024645469	40.0	40.0	40.0	40.0	40.0
75-79	38.359762072114286	40.0	40.0	40.0	40.0	40.0
80-84	38.30794236093293	40.0	40.0	40.0	40.0	40.0
85-89	38.27990917203315	40.0	40.0	40.0	40.0	40.0
90-94	38.28931929512545	40.0	40.0	40.0	40.0	40.0
95-99	38.24403537462173	40.0	40.0	40.0	40.0	40.0
100-104	38.18532277732127	40.0	40.0	40.0	40.0	40.0
105-109	38.1478829724572	40.0	40.0	40.0	40.0	40.0
110-114	38.11642134153879	40.0	40.0	40.0	40.0	40.0
115-119	38.10361811365131	40.0	40.0	40.0	40.0	40.0
120-124	38.044110046529696	40.0	40.0	40.0	40.0	40.0
125-129	37.98779826949827	40.0	40.0	40.0	40.0	40.0
130-134	37.99349454348641	40.0	40.0	40.0	40.0	40.0
135-139	37.982532640911025	40.0	40.0	40.0	40.0	40.0
140-144	37.917360445704446	40.0	40.0	40.0	40.0	40.0
145-149	37.89822706783945	40.0	40.0	40.0	40.0	40.0
150	37.89608263358719	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.14391702071150547
1101	2	-0.21770537292501047
1101	3	-0.03292982665558952
1101	4	-0.1386161474483174
1101	5	-0.08257636827516279
1101	6	-0.23465162569511477
1101	7	-0.09186064692822526
1101	8	-0.06544936258963219
1101	9	-0.15201767629370977
1101	10-14	-0.10237566440299872
1101	15-19	-0.08492505239112091
1101	20-24	-0.0958831714143642
1101	25-29	-0.12643955149183483
1101	30-34	-0.09366779856890162
1101	35-39	-0.08253283289003832
1101	40-44	-0.09459623875097378
1101	45-49	-0.1372230127989127
1101	50-54	-0.12029341680920425
1101	55-59	-0.09632833488682024
1101	60-64	-0.09166374321603854
1101	65-69	-0.09777748838791211
1101	70-74	-0.11925467947568791
1101	75-79	-0.1456519421410647
1101	80-84	-0.13631850397496237
1101	85-89	-0.16710417307879766
1101	90-94	-0.20540047318372956
1101	95-99	-0.13816189661231704
1101	100-104	-0.17674556109225392
1101	105-109	-0.14632785908132462
1101	110-114	-0.13489544404467324
1101	115-119	-0.16289269903877113
1101	120-124	-0.1656080394046029
1101	125-129	-0.18256814645274488
1101	130-134	-0.20820801882847917
1101	135-139	-0.18446672666709674
1101	140-144	-0.18686220262944886
1101	145-149	-0.2589298151790729
1101	150	-0.28235187391035055
1102	1	-0.11543023310270684
1102	2	-0.05169670603277865
1102	3	-0.06795755434124118
1102	4	-0.09694878444944521
1102	5	-0.03309316238901516
1102	6	-0.08330749432513329
1102	7	-0.051269787242262055
1102	8	0.017073602972033086
1102	9	-0.020514755955268527
1102	10-14	-0.026560077555764394
1102	15-19	-0.03774375996280099
1102	20-24	-0.04382223514658534
1102	25-29	-0.054215991961420684
1102	30-34	-0.01549214059803461
1102	35-39	-0.0516884714939394
1102	40-44	-0.060210944530389554
1102	45-49	-0.0740821772191822
1102	50-54	-0.047819051556729164
1102	55-59	-0.09001085596046465
1102	60-64	-0.10021511471720856
1102	65-69	-0.08388977581870449
1102	70-74	-0.12498834927674096
1102	75-79	-0.09189650010780781
1102	80-84	-0.12237386979531806
1102	85-89	-0.12093502079519425
1102	90-94	-0.08763159094038286
1102	95-99	-0.10897698998336125
1102	100-104	-0.13730993387771662
1102	105-109	-0.11478256600850045
1102	110-114	-0.11110463253965008
1102	115-119	-0.13606801488717934
1102	120-124	-0.6496532828144836
1102	125-129	-0.06586958724553682
1102	130-134	-0.12924651974559254
1102	135-139	-0.1005241515286528
1102	140-144	-0.047965552307935866
1102	145-149	-0.10345607331473161
1102	150	-0.25413909959356573
1103	1	0.0808463601163254
1103	2	0.011931466096712029
1103	3	0.12796521138154304
1103	4	0.08416713697216949
1103	5	0.12968258278603173
1103	6	0.07434446053464683
1103	7	0.11908155778800023
1103	8	0.13013004699230635
1103	9	0.12273110423745948
1103	10-14	0.11519583065849304
1103	15-19	0.1356535209151275
1103	20-24	0.12388273539802697
