##fastqc-rs	0.3.4
>>Basic Statistics	pass
#Measure	Value	
Filename	F6703_372760_R1.fastq.gz
Total Sequences	24065275
Filtered Sequences	0	
Sequence length	150
%GC	51.74071502685547
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
87	39.498337417710786	40	40	40	40	40
20	39.642570134768874	40	40	40	40	40
142	39.30227824115868	40	40	40	40	40
75	39.52554940676971	40	40	40	40	40
8	39.65578078787797	40	40	40	40	40
130	39.307141181640354	40	40	40	40	40
63	39.59702334587907	40	40	40	40	40
118	39.39361698546973	40	40	40	40	40
51	39.60030741389824	40	40	40	40	40
106	39.40898360812415	40	40	40	40	40
39	39.62307366111545	40	40	40	40	40
94	39.48534442261724	40	40	40	40	40
27	39.60839483446584	40	40	40	40	40
149	39.25846856102829	40	40	40	40	40
82	39.46870800354453	40	40	40	40	40
15	39.63122598848341	40	40	40	40	40
137	39.324605598730955	40	40	40	40	40
70	39.58684444703	40	40	40	40	40
3	39.68650563934965	40	40	40	40	40
125	39.34915690761896	40	40	40	40	40
58	39.597875445013614	40	40	40	40	40
113	39.40361454419283	40	40	40	40	40
46	39.6265861079917	40	40	40	40	40
101	39.433602981889884	40	40	40	40	40
34	39.6334672261173	40	40	40	40	40
89	39.49686633541482	40	40	40	40	40
22	39.638062810418745	40	40	40	40	40
144	39.24766585879447	40	40	40	40	40
77	39.467888814900306	40	40	40	40	40
10	39.641522151731074	40	40	40	40	40
132	39.337828385505674	40	40	40	40	40
65	39.50776718736852	40	40	40	40	40
120	39.37700774248373	40	40	40	40	40
53	39.60625847824303	40	40	40	40	40
108	39.41347032186418	40	40	40	40	40
41	39.61764575721657	40	40	40	40	40
96	39.46014296533075	40	40	40	40	40
29	39.619448936278516	40	40	40	40	40
84	39.430250350349205	40	40	40	40	40
17	39.66003031338724	40	40	40	40	40
139	39.265924781661546	40	40	40	40	40
72	39.57009541756743	40	40	40	40	40
5	39.659223673945135	40	40	40	40	40
127	39.30619724894064	40	40	40	40	40
60	39.59539494146649	40	40	40	40	40
115	39.38226436223978	40	40	40	40	40
48	39.60755777775238	40	40	40	40	40
103	39.43609212859608	40	40	40	40	40
36	39.631679505012926	40	40	40	40	40
91	39.4706885335821	40	40	40	40	40
24	39.64260495672707	40	40	40	40	40
146	39.24664164444412	40	40	40	40	40
79	39.529820789498565	40	40	40	40	40
12	39.650765262395716	40	40	40	40	40
134	39.29713306829031	40	40	40	40	40
67	39.57009882496668	40	40	40	40	40
>>END_MODULE
>>Per sequence quality scores	pass
#Quality	Count
32	140562
29	25443
26	3339
40	14834020
37	484469
34	241752
31	66484
28	19673
25	748
39	6450081
36	362231
33	197685
30	33187
27	8989
24	21
38	915859
35	280732
>>END_MODULE
>>Per base sequence content	pass
#Base	G	A	T	C
0	0.3991129957999649	0.16341130529362327	0.13140240450192237	0.30462062037520865
1	0.303400979211748	0.15496889189921995	0.28912667733902897	0.2524414950587517
10	0.2652632475631382	0.26132745210682196	0.24539707109102224	0.2280004280025888
100	0.2675453324343894	0.23460517280604523	0.2465879155754505	0.25126024946733416
101	0.26792716891870133	0.23273434440287924	0.24504004213540048	0.2541910699129763
102	0.2684007558608825	0.234661104018134	0.24582407639222906	0.25108198431141965
103	0.26581952626762007	0.23395311293970253	0.24735042504189128	0.25287672798253913
104	0.2665337503934611	0.23281986181333894	0.24480019447107917	0.2558454453564316
105	0.2661532851795793	0.23404245328590678	0.24644214537336473	0.25336165907100583
106	0.26556829290336387	0.23292299797114308	0.24881544050504306	0.25268678625114405
107	0.2681018604607676	0.23202415098102971	0.24464848209712958	0.2552252155855273
108	0.2679710911261143	0.23385529564902124	0.24467279098202702	0.2534977888264314
109	0.2673423013034341	0.23423617639939706	0.2449625445792745	0.2534390319661836
11	0.2701525330585252	0.23543886367390357	0.2534828710662978	0.240925690647624
110	0.26877665017333063	0.2321186439797592	0.24391680543854163	0.2551550314716952
111	0.2681851339741599	0.2339585149141242	0.24385705129070828	0.25397939562294636
112	0.26712036326200306	0.23405791124348257	0.24365493434003974	0.2551628851114313
113	0.26778281154069505	0.2324116803153091	0.2429804355030225	0.2568089498250072
114	0.26715709668807025	0.2337308424690763	0.24286221537048713	0.2561912132730667
115	0.2664249213856896	0.23435909209431433	0.24436516931553867	0.2547679176739098
116	0.2673546011836557	0.23097379938521376	0.24142886378817613	0.2573107516951292
117	0.2679084282228231	0.23314809408992834	0.24264509755238617	0.25628279751633837
118	0.2659816686075684	0.23409364738196425	0.24573066378838387	0.2541766923502848
119	0.2676213756127865	0.23061024650663664	0.24516287472301895	0.2563556826173813
12	0.2644037103253547	0.2425425015920242	0.2632506381082286	0.22980194491856004
120	0.26812326059020725	0.23285235676716762	0.2446747440035487	0.25434764406390536
121	0.2673408053720558	0.2327336379908395	0.24532863223046486	0.254591813307764
122	0.2678955050378606	0.23115663544256196	0.24325610241312431	0.25761517373061393
123	0.26904521140938553	0.23210090057146657	0.24404337785460586	0.2547400767288136
124	0.2672893619541019	0.23306831108308548	0.2441295185698065	0.2554014446126213
125	0.2682168809622994	0.23063488782072925	0.24289300662469054	0.2582546843948386
126	0.2674385395554383	0.23204600820061272	0.2442039411558771	0.2563078128132756
127	0.2655951365608745	0.23211066567907493	0.24586475741498903	0.2563086438862635
128	0.2673915839316193	0.2298690125086873	0.2451730138134719	0.25746092658405106
129	0.2675781598174133	0.23214253732816267	0.24472838976492062	0.25554044156985534
13	0.2637904200138997	0.23967384540588046	0.26123811176061773	0.23528943675067082
130	0.2671405583356101	0.23226337534061006	0.24571599535014663	0.2547907721810783
131	0.2668547523350554	0.2305615871831924	0.2432143825491294	0.256363079166974
132	0.2678735231573294	0.2326670274908556	0.24371231992985745	0.25573487109538534
133	0.26816772299506236	0.23102644785900014	0.24698678905601537	0.25381355500820163
134	0.26823312843921376	0.22942584283786494	0.2447859831229853	0.25752491920412296
135	0.26806034836501974	0.2314313466187276	0.24358558129919564	0.2568768484881224
136	0.2652884290746729	0.23101743071708095	0.24484191433507407	0.25740823655661527
137	0.26663709431951227	0.2311107602136273	0.24280956689670075	0.25942063824327793
138	0.2671365276316186	0.23215417234999391	0.24398923344944115	0.25662532424832046
139	0.26648334581674216	0.2314129383520446	0.24557517003233914	0.25647099399445883
14	0.2707777908210066	0.23575350790714006	0.2537970166557415	0.23967060422122746
140	0.26738339786268805	0.2308784753134963	0.24344213810147608	0.2577643513319503
141	0.26720525736772177	0.23260635916273553	0.24410554211410423	0.25605591459062904
142	0.26657210441185486	0.23262763463122693	0.2449976574130152	0.25576582856418634
143	0.268173540505978	0.22886407905166262	0.2455852260154933	0.25736244443497946
144	0.2678502946673163	0.23139610912403868	0.245638954884164	0.2551099042084497
145	0.2666127854346148	0.23045483585789067	0.2464950847226969	0.25642536808742056
146	0.2673466644366208	0.22935287462952325	0.24494172620092644	0.25835482868988613
147	0.26763679201671287	0.23099403601247026	0.24488741558116414	0.2555839482407743
148	0.2680773853612726	0.23021353381584045	0.24574495824377657	0.25593445327344067
149	0.26959226520370116	0.2286519892251387	0.244158855446281	0.25753559849201807
15	0.27094039025109834	0.23634693557418313	0.2537694250325417	0.23825919296579823
16	0.2693532901660172	0.23999289432595305	0.2556235904222994	0.23502449068211353
17	0.2733307639326789	0.23804535788599965	0.252776833009388	0.23581496575459868
18	0.27350711762072116	0.24112826468843593	0.2500000934957111	0.23523986324693982
19	0.27002064177533813	0.24158635211939194	0.25256270705404366	0.2358287200125492
2	0.3147095140196819	0.16578987773877507	0.22779826949827084	0.29120926313952367
20	0.27066260410487725	0.23992952501062215	0.24887527776017518	0.24004242627603467
21	0.269694113198374	0.2413917979329137	0.24873528351535562	0.23985323251032867
22	0.26718822037146883	0.24152767836644293	0.2501018583830852	0.24083755535725232
23	0.2696463265015671	0.23870988384716152	0.24630061364351746	0.24534226182746716
24	0.26987287699808127	0.23990322155055366	0.2478067672195726	0.24241626160515514
25	0.268387624907673	0.2407076170955869	0.24757510562418256	0.24329553682640237
26	0.27021207943811154	0.23864560035154386	0.24597732625120636	0.2451649939591382
27	0.27047997581577604	0.24060032557284303	0.24755536764071884	0.24136428941701268
28	0.2696046066375722	0.23987263806459722	0.24861402996641427	0.24190868377776692
29	0.2685588259431899	0.2380876595010861	0.24877820843518306	0.24457526456689152
3	0.35011451146932665	0.1817386254676084	0.2006856767687051	0.2674144799924372
30	0.26641523938538	0.24039891503421423	0.2479785915598305	0.2452072124669259
31	0.2648316713604976	0.24068305888879307	0.2493368141440312	0.24514039419869502
32	0.2665651649524055	0.23807311572379705	0.24763373782348216	0.24772739974922373
33	0.2676151010117275	0.2388358329584848	0.24722962858309327	0.24631931278574626
34	0.2673126319977644	0.23886487895941352	0.24843439354006966	0.24538809550275242
35	0.2694455392676793	0.2399130697654608	0.24386685795196605	0.24677453301489385
36	0.2703278894589819	0.24032083572699667	0.244849643313862	0.24450158994651006
37	0.26943357181665284	0.24069930636570744	0.24581784334481946	0.24379397285092316
38	0.2695396582835642	0.23961886992772782	0.24336833882014647	0.24747304986126276
39	0.26948588786124406	0.23915720888292363	0.24483954577705844	0.24651735747877387
4	0.3507299625705503	0.19230384859512306	0.21233349712396804	0.24460721932327803
40	0.26750988717145346	0.23993048074455828	0.24748821694329276	0.2450709580505521
41	0.2685853787251548	0.23907231477720492	0.24628361820091396	0.24575135750578375
42	0.26892541223817307	0.23790095895434396	0.24783892974420613	0.24533465750962746
43	0.2662613662216617	0.23710840619938894	0.24803601870329758	0.24859412576835294
44	0.26884517214118686	0.23458651521746582	0.24751460351066007	0.24905370913068728
45	0.2688057377279088	0.23562868074435053	0.2465109582167667	0.24882894544109718
46	0.26753299100051836	0.2370781966962771	0.24673767492787846	0.24865113737532607
47	0.26770331940939796	0.23514096556137423	0.24659701582466853	0.25055869920455925
48	0.26826728553901835	0.23819403684354323	0.24618447119345196	0.24735350001194667
49	0.26554240497978937	0.2378119510373349	0.24970531190688658	0.24694024896869035
5	0.34337962063595784	0.20801981278003265	0.19639002670860814	0.25177489141511994
50	0.26835999173082375	0.23555172338566668	0.24749690165601682	0.24813990282679088
51	0.26819610413760075	0.23829538619442328	0.2468233169992863	0.24640279406738547
52	0.2661067866459037	0.23784207743314797	0.24869364675865951	0.24735740605499001
53	0.26988430425166554	0.23547509845617803	0.24538074050680908	0.24925981523169796
54	0.2676845371598704	0.23819669627710466	0.24574819942842954	0.24837048402729658
55	0.2660462014250824	0.23723780426361218	0.24616917945047376	0.2505467733071822
56	0.2669548550764535	0.23467440118594116	0.24578725985886302	0.2525831098958977
57	0.2674056290651156	0.23734642550313678	0.2453342004194841	0.2496831222581084
58	0.26588759114533284	0.23699251307121985	0.2451788728780369	0.25193117469050325
59	0.26682279757866884	0.23568353156155497	0.24595750516044385	0.2513156404819808
6	0.27525212157351203	0.21585176151114002	0.2807983702658706	0.22799677128144183
60	0.2678377039115489	0.23710213159832996	0.24512302477324693	0.2497483199340128
61	0.2646494586078904	0.23695382662363093	0.24805700329624325	0.2503395452576378
62	0.26470605467836955	0.2346864517442664	0.24937043104639361	0.2511179282181483
63	0.2644883135555276	0.23542066317546756	0.2491694775979082	0.25092154567109665
64	0.2647409181902139	0.23458452064229476	0.25017935593921115	0.2504944157089416
65	0.2635521929419049	0.2334629460914118	0.2500980354473406	0.25232597591342715
66	0.26392613423283134	0.2359759445923639	0.247274049434299	0.25282125386059373
67	0.26174552337340834	0.23649071120109785	0.2489309180967182	0.25279416088118667
68	0.26539792294083486	0.23357069470429903	0.24616290484941478	0.25486531942809715
69	0.264690098077001	0.23556049120568953	0.24640778050531315	0.2533019049231725
7	0.26236658421730064	0.21177094381842718	0.28215123242929907	0.2437097851572442
70	0.262609257529781	0.23539111853074607	0.24929904187672902	0.2527005405090945
71	0.26545443590401524	0.234004930340501	0.2483843213925459	0.2521563123629379
72	0.26624678089072323	0.2358471282792322	0.2475683323793308	0.2503377584507137
73	0.26545406192117066	0.23614531726730736	0.2483905128863061	0.24961879720884136
74	0.26707864339800813	0.23564887581795763	0.2457537260637994	0.2515180067545457
75	0.26613059688700835	0.23709128609583727	0.24606384094925157	0.250330985205862
76	0.26581923539207425	0.2360005859064565	0.2466333337142418	0.24894990811449277
77	0.26871955545905873	0.2340590747456657	0.24398765441076406	0.25221253445057246
78	0.2673281315089896	0.2364698928227498	0.24499940266628992	0.25120153416073576
79	0.26583635549562595	0.23684059292902326	0.245961286542539	0.2513463901825348
8	0.2732647351837866	0.2069288217151061	0.2851928349042344	0.23461198760454638
80	0.2671270949532054	0.234979986723609	0.24487291335752448	0.2530199634120117
81	0.26824139761544386	0.23664300532613902	0.2454331396586991	0.24968241584606865
82	0.26617044683678037	0.23586088253718274	0.24864170469691288	0.24930610599712658
83	0.26738780254952416	0.23306091453349276	0.24783336155518687	0.2517178382544974
84	0.26754828274349657	0.23481817681285586	0.24667904272857882	0.24887378182879688
85	0.2649839239318894	0.23529251172072624	0.25006150978952035	0.2496619298969158
86	0.26717521407920747	0.23334372867129088	0.24792714814187664	0.2515537428930274
87	0.26609461142663027	0.23523944771044586	0.2468110586727141	0.25185288761503866
88	0.26480582499057254	0.23478709468310668	0.24911878214564345	0.2512114239292923
89	0.2662705080245291	0.23278890434453792	0.2465509743811363	0.25438641361879305
9	0.23685758837162676	0.28244717752030674	0.28845633386695146	0.19223885868746565
90	0.26671164156653104	0.2344152310746501	0.24670193878939675	0.25216948486979684
91	0.266951239908956	0.233447488133836	0.24922461929065842	0.25023050848161926
92	0.2665108958862926	0.2325165617263879	0.24733866535911184	0.2536331290625185
93	0.2677757889739469	0.2331442711541838	0.24758478762449213	0.25149087222148925
94	0.2668991316326117	0.23376288033276163	0.24758399810515358	0.25174310287333096
95	0.2688055715133112	0.23238034886366352	0.24499940266628992	0.25381326413265587
96	0.2683208066394421	0.2336753267934815	0.24557026670171025	0.2523946225422315
97	0.2685586181749429	0.23355378236899432	0.24683403784083083	0.25104059687661995
98	0.2688165832304015	0.2314128136910964	0.24512755412103124	0.25282391329415516
99	0.2699079482781726	0.23328006848041422	0.24527033246036042	0.2515414014591564
>>END_MODULE
>>Per base GC content	pass
#Base	%GC
0	0.7047573989455652
1	0.5558769144536869
10	0.4932694967556813
100	0.518806271767129
101	0.5221743071047208
102	0.5194994054105335
103	0.5186963620187931
104	0.5223795864719001
105	0.519515181715854
106	0.5182584386971034
107	0.523327228269388
108	0.5214704617895998
109	0.5207917208519749
11	0.5110782449433154
110	0.5239489032883481
111	0.5221749230701976
112	0.5222852884422519
113	0.5246002193984954
114	0.5233789968227879
115	0.5212360492833895
116	0.5262081868358017
117	0.5241993941383509
118	0.5201673743514298
119	0.5241079911716331
12	0.4942062507900397
120	0.5224719467636852
121	0.521935286342675
122	0.5255509272326574
123	0.5238221827342399
124	0.5227490218739915
125	0.5264718497558847
126	0.5237482893338119
127	0.5219668321920768
128	0.524907868959379
129	0.5231240792913433
13	0.4990839423001247
130	0.5219779425166955
131	0.5247954709991651
132	0.5236148128940893
133	0.5219841411289349
134	0.5257738873155742
135	0.5249612795720243
136	0.5234525254858144
137	0.5260692746946394
138	0.5238114789950296
139	0.5229844385093183
14	0.5104489465286647
140	0.5254270858794151
141	0.5232752620682631
142	0.522357142649367
143	0.5255437156847512
144	0.5229626762106433
145	0.5230443912957696
146	0.5257035465471879
147	0.5236909142277745
148	0.5240273861634127
149	0.5271601742035755
15	0.5095481427711214
16	0.5043806731704873
17	0.5091620633095976
18	0.5088104096557786
19	0.5058501605448557
2	0.606217688311873
20	0.5109554838200329
21	0.5097132945151271
22	0.5082009462534366
23	0.51498905912188
24	0.5122895856407749
25	0.5117006186801496
26	0.5153770733972498
27	0.5118442865017868
28	0.5115133116705839
29	0.5131341118326764
3	0.6175578353044743
30	0.5116224731120868
31	0.5099761766852146
32	0.5142928638920642
33	0.5139344778650331
34	0.5127007275005169
35	0.5162200722825732
36	0.5148295007985365
37	0.5133586080062492
38	0.5170127511123601
39	0.516003245340018
4	0.5953523469392589
40	0.5125810795177647
41	0.514494856342074
42	0.5142600911171841
43	0.5148555347782674
44	0.5178988812718741
45	0.5177515282310227
46	0.5161841283758445
47	0.5182620186139573
48	0.5156211497919532
49	0.5124826965395323
5	0.5954139032012375
50	0.5167331894650503
51	0.5147442612643967
52	0.5134642353735194
53	0.5191441410556971
54	0.5160550640751094
55	0.5165929961985889
56	0.5195381592707099
57	0.5172080312638653
58	0.5178238654765474
59	0.518252725855662
6	0.5032997137287798
60	0.5176837727831295
61	0.5149890894642325
62	0.5158854425542115
63	0.5154098592266243
64	0.5152357406877367
65	0.5161676612847499
66	0.5167487408795733
67	0.5145595907372335
68	0.5202648854056848
69	0.518012581199576
7	0.506077105401816
70	0.515309819451879
71	0.5176107482669531
72	0.516584539341437
73	0.515274491560434
74	0.5185970380453447
75	0.5166596130013192
76	0.5161094471602642
77	0.5214645996164837
78	0.5185302043402832
79	0.5171906974076981
8	0.5078775458507866
80	0.5201470799792265
81	0.517923834983138
82	0.5154873058640528
83	0.5191056839454927
84	0.5174988326144415
85	0.5146459179850533
86	0.5187290431925741
87	0.5179485321289511
88	0.5160569204092934
89	0.5206585875586812
9	0.42909646488961645
90	0.5188820104554146
91	0.5172573425433005
92	0.5201444139989861
93	0.5192688836797011
94	0.5186478810545417
95	0.5226195740154856
96	0.5207357260663362
97	0.5196059516069067
98	0.5225911607423966
99	0.5214494797461021
>>END_MODULE
>>Per sequence GC content	pass
#GC Content	Count
0	5981
1	1106
2	720
3	159
4	291
5	160
6	309
7	147
8	315
9	141
10	301
11	169
12	401
13	228
14	520
15	293
16	860
17	541
18	1675
19	1554
20	5606
21	4270
22	13397
23	10771
24	44278
25	37685
26	95285
27	58226
28	138794
29	81457
30	196348
31	115449
32	260762
33	145342
34	311624
35	167448
36	380656
37	217587
38	488500
39	266602
40	566771
41	313452
42	731094
43	391202
44	846351
45	484406
46	1059439
47	514834
48	1008859
49	508999
50	1056323
51	563349
52	1172892
53	574533
54	1181180
55	575884
56	1140918
57	565521
58	1067560
59	511452
60	1021373
61	531934
62	1032218
63	453284
64	797323
65	353790
66	610557
67	242530
68	365959
69	132180
70	184743
71	69306
72	109320
73	43653
74	70343
75	26430
76	39190
77	14501
78	22163
79	8855
80	13680
81	5959
82	8575
83	3270
84	5750
85	2125
86	2954
87	978
88	855
89	197
90	205
91	49
92	37
93	6
94	4
95	2
>>END_MODULE
>>Per base N content	pass
#Base	N-Count
0	0.0014526740292807791
1	0.00006195649125139854
10	0.000011801236428837817
100	0.0000013297167807141202
101	0.00010737463004266521
102	0.00003207941733472815
103	0.00000020776824698658128
104	0.0000007479656891516926
105	0.00000045709014337047883
106	0.000006482369305981336
107	0.0000002908755457812138
108	0.000003033416406004087
109	0.000019945751710711804
11	0.000000041553649397316256
110	0.00003286893667327716
111	0.00001990419806131449
112	0.000003906043043347728
113	0.000016122815966158707
114	0.00005863219929961324
115	0.00008289953054764593
116	0.002931983947825238
117	0.000015582618523993597
118	0.00001732787179868088
119	0.0002498205401766653
12	0.0000012050558325221714
120	0.00000199457517107118
121	0.0000051110988758699
122	0.00007658337583925387
123	0.00007043343572845105
124	0.00011136378038480757
125	0.0000005401974421651114
126	0.0000036982747963611468
127	0.00012079645879799836
128	0.00010546316217038867
129	0.000010471519648123697
13	0.000008186068931271302
130	0.00008929879255483263
131	0.0030061987656488445
132	0.000012258326572208297
133	0.000005485081720445746
134	0.000030126395813054288
135	0.00004587522893463715
136	0.00144398931655674
137	0.000021940326881782984
138	0.00009474232062588106
139	0.00005755180441528302
14	0.0000010803948843302227
140	0.0005316373903892642
141	0.000026926764809460933
142	0.00003677497971662489
143	0.000014709991886649956
144	0.000004737116031294054
145	0.000011925897377029766
146	0.000003906043043347728
147	0.0008978081488784151
148	0.00002966930566968381
149	0.00006129163286104148
15	0.0006840561763786202
16	0.0000057344036168296435
17	0.00003207941733472815
18	0.00012466094819194877
19	0.0000015790386770980179
2	0.0004930756037485547
20	0.0004901668482907426
21	0.0003255728430279729
22	0.00034468752175073836
23	0.0000009141802867409577
24	0.0000008726266373436415
25	0.000034115546155196644
26	0
27	0.000000041553649397316256
28	0.000000041553649397316256
29	0.000000041553649397316256
3	0.000046706301922583475
30	0.000000041553649397316256
31	0.000008061407983079354
32	0.0000005817510915624276
33	0.00000012466094819194876
34	0
35	0
36	0.000000041553649397316256
37	0.00025530562189711106
38	0.00000008310729879463251
39	0
4	0.000025472387080554868
40	0.00000045709014337047883
41	0.00030733079094255106
42	0.000000041553649397316256
43	0.00000008310729879463251
44	0
45	0.0002256778698768246
46	0
47	0
48	0.0000007064120397543764
49	0.00000008310729879463251
5	0.0004356484602814636
50	0.00045148040070184115
51	0.0002823986013041613
52	0.00000008310729879463251
53	0.000000041553649397316256
54	0.00000008310729879463251
55	0.000000041553649397316256
56	0.0000003739828445758463
57	0.00023062275415510524
58	0.000009848214907163953
59	0.00022052521735155739
6	0.0001009753680354785
60	0.00018881978286140508
61	0.00000016621459758926502
62	0.0001191343128221057
63	0
64	0.0000007895193385490089
65	0.0005608496059155776
66	0.0000026178799120309243
67	0.00003868644758890144
68	0.0000031580773541960357
69	0.00003972528882383434
7	0.000001454377728906069
70	0.000000041553649397316256
71	0
72	0
73	0.0003913107163745272
74	0.0000007479656891516926
75	0.00038329086204084517
76	0.002596936872734677
77	0.001021180933939047
78	0.0000010388412349329064
79	0.000015374850277007015
8	0.000001620592326495334
80	0.000000041553649397316256
81	0.000000041553649397316256
82	0.000020859931997452763
83	0.00000008310729879463251
84	0.002080715886271817
85	0.00000012466094819194876
86	0.00000016621459758926502
87	0.00000199457517107118
88	0.00007687425138503507
89	0.000003199631003593352
9	0.000000041553649397316256
90	0.0000017036996252899666
91	0.00014614418493036127
92	0.0000007479656891516926
93	0.000004280025887923574
94	0.000010887056142096859
95	0.0000014128240795087528
96	0.00003897732313468265
97	0.000012964738611962672
98	0.001819135663315711
99	0.0000002493218963838975
>>END_MODULE
>>Sequence Length Distribution	pass
#Length	Count
150	24065275
>>END_MODULE
>>Overrepresented sequences	pass
>>END_MODULE
>>Kmer Content	pass
>>END_MODULE
>>Seqkit Statistics	pass
#file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
F6703_372760_R1.fastq.gz	FASTQ	DNA	24065275	3609791250	150	150	150	150	150	150	644935	150	24065275	100	99.7581037407634	39.24505633116596	51.74071502685547	644935>>END_MODULE
