##fastqc-rs	0.3.4
>>Basic Statistics	pass
#Measure	Value	
Filename	F6703_372760_R1.fastq.gz
Total Sequences	24065275
Filtered Sequences	0	
Sequence length	150
%GC	51.74071502685547
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
0	39.45315688268678	40	40	40	40	40
122	39.37851090419702	40	40	40	40	40
55	39.60741383591087	40	40	40	40	40
110	39.411443002417386	40	40	40	40	40
43	39.61937089852495	40	40	40	40	40
98	39.38708400381878	40	40	40	40	40
31	39.614382133592905	40	40	40	40	40
86	39.498181009774456	40	40	40	40	40
19	39.67085171476329	40	40	40	40	40
141	39.27956493329081	40	40	40	40	40
74	39.566405619715546	40	40	40	40	40
7	39.64825309496775	40	40	40	40	40
129	39.334252361545836	40	40	40	40	40
62	39.57763499482137	40	40	40	40	40
117	39.382429579549786	40	40	40	40	40
50	39.58374703800393	40	40	40	40	40
105	39.427755967883186	40	40	40	40	40
38	39.61803536423332	40	40	40	40	40
93	39.49303941051993	40	40	40	40	40
26	39.61271583225207	40	40	40	40	40
148	39.269729184478464	40	40	40	40	40
81	39.49127321420595	40	40	40	40	40
14	39.658683975146765	40	40	40	40	40
136	39.245830517207885	40	40	40	40	40
69	39.58900914284171	40	40	40	40	40
2	39.62884363465616	40	40	40	40	40
124	39.37151800675455	40	40	40	40	40
57	39.58815829031665	40	40	40	40	40
112	39.40669948712408	40	40	40	40	40
45	39.61052936232809	40	40	40	40	40
100	39.418802236832946	40	40	40	40	40
33	39.62635581766674	40	40	40	40	40
88	39.49627303240873	40	40	40	40	40
21	39.641968853462096	40	40	40	40	40
143	39.270862601819424	40	40	40	40	40
76	39.447274631185394	40	40	40	40	40
9	39.62345171621766	40	40	40	40	40
131	39.210196517596415	40	40	40	40	40
64	39.58293640941149	40	40	40	40	40
119	39.36460231599265	40	40	40	40	40
52	39.60362954506026	40	40	40	40	40
107	39.41702631696501	40	40	40	40	40
40	39.62609702153829	40	40	40	40	40
95	39.482726044061415	40	40	40	40	40
28	39.60238717405058	40	40	40	40	40
83	39.5063551112547	40	40	40	40	40
16	39.63921941469607	40	40	40	40	40
138	39.29961606505639	40	40	40	40	40
71	39.57360852930208	40	40	40	40	40
4	39.68932455581746	40	40	40	40	40
126	39.348607568373936	40	40	40	40	40
59	39.59055768114015	40	40	40	40	40
114	39.39104065920709	40	40	40	40	40
47	39.6123418494075	40	40	40	40	40
102	39.42994675938671	40	40	40	40	40
35	39.621988446007784	40	40	40	40	40
90	39.48783124231907	40	40	40	40	40
23	39.646523216543336	40	40	40	40	40
145	39.25700853200306	40	40	40	40	40
78	39.521260820830015	40	40	40	40	40
11	39.64761383362542	40	40	40	40	40
133	39.31312981048419	40	40	40	40	40
66	39.585375276201916	40	40	40	40	40
121	39.37656702447821	40	40	40	40	40
54	39.60734876289592	40	40	40	40	40
109	39.41216528795121	40	40	40	40	40
42	39.622742977173544	40	40	40	40	40
97	39.454221736506234	40	40	40	40	40
30	39.616981148148106	40	40	40	40	40
85	39.50403650072563	40	40	40	40	40
18	39.65420881332127	40	40	40	40	40
140	39.22585966709294	40	40	40	40	40
73	39.506585900223456	40	40	40	40	40
6	39.66282288484133	40	40	40	40	40
128	39.34189590603058	40	40	40	40	40
61	39.59017430717081	40	40	40	40	40
116	39.26281341060927	40	40	40	40	40
49	39.60210352883979	40	40	40	40	40
104	39.421531812954555	40	40	40	40	40
37	39.601174555453866	40	40	40	40	40
92	39.48823007424598	40	40	40	40	40
25	39.61505605067883	40	40	40	40	40
147	39.22131386406347	40	40	40	40	40
80	39.50257846627558	40	40	40	40	40
13	39.647961886992775	40	40	40	40	40
135	39.30181425310951	40	40	40	40	40
68	39.590537486066545	40	40	40	40	40
1	39.62265039564269	40	40	40	40	40
123	39.37055038847468	40	40	40	40	40
56	39.576541302769236	40	40	40	40	40
111	39.4062085723101	40	40	40	40	40
44	39.633506951406126	40	40	40	40	40
99	39.475001885496845	40	40	40	40	40
32	39.626791881663515	40	40	40	40	40
