#GC Content (%)	Sample
1.0	6.419378305678919E-7
2.0	3.2096891528394596E-7
3.0	4.814533729259189E-7
4.0	1.6048445764197298E-7
5.0	8.024222882098649E-7
6.0	4.814533729259189E-7
7.0	6.419378305678919E-7
8.0	3.2096891528394596E-7
9.0	4.814533729259189E-7
10.0	8.024222882098649E-7
11.0	4.814533729259189E-7
12.0	4.814533729259189E-7
13.0	1.123391203493811E-6
14.0	1.9258134917036753E-6
15.0	2.407266864629595E-6
16.0	5.456471559827082E-6
17.0	1.6369414679481243E-5
18.0	3.20968915283946E-5
19.0	5.809537366639422E-5
20.0	1.1779559190920816E-4
21.0	1.972353984419848E-4
22.0	2.7426793811013186E-4
23.0	4.7294769667089435E-4
24.0	0.0011367114134780945
25.0	0.0019503676137228975
26.0	0.0020235485264076375
27.0	0.002863042724332798
28.0	0.0033815680069740122
29.0	0.004071651174834497
30.0	0.005005510233853138
31.0	0.005931184585532037
32.0	0.006601046711729633
33.0	0.007556089719157014
34.0	0.008056640742542328
35.0	0.009282421030011718
36.0	0.010528101390228712
37.0	0.012282998934543685
38.0	0.014002750382635067
39.0	0.01465768745427196
40.0	0.01641980679918082
41.0	0.01742716773979949
42.0	0.02059047688438042
43.0	0.02158965311765934
44.0	0.02379807973927053
45.0	0.026968450199987705
46.0	0.03062059500254609
47.0	0.03155461454602237
48.0	0.028217982187188108
49.0	0.031535998348935904
50.0	0.03215707320001033
51.0	0.039943137146968295
52.0	0.03017605305487782
53.0	0.03451218261590629
54.0	0.03543047468253366
55.0	0.03328206924808057
56.0	0.0368201096012555
57.0	0.03433356341455077
58.0	0.035128442933251465
59.0	0.032946175278235915
60.0	0.030878012072603808
61.0	0.03263002089668123
62.0	0.032942484135710146
63.0	0.03381856878997768
64.0	0.028809046444683496
65.0	0.02554110143372
66.0	0.02172702781340087
67.0	0.019467727618717172
68.0	0.01597767211837719
69.0	0.011478169379469192
70.0	0.009436165140432728
71.0	0.0073543607559010534
72.0	0.005317492019509132
73.0	0.00458520143928881
74.0	0.0037575830912291554
75.0	0.002719409134743232
76.0	0.002084372135853945
77.0	0.0017244054973629996
78.0	0.001359784809600437
79.0	0.0011014048327968604
80.0	8.386917756369509E-4
81.0	7.510672617644335E-4
82.0	5.713246692054238E-4
83.0	3.5258435343941464E-4
84.0	2.5966385246471225E-4
85.0	2.1312335974854016E-4
86.0	1.502134523528867E-4
87.0	9.468583000876405E-5
88.0	4.9108244038443734E-5
89.0	1.8616197086468865E-5
90.0	6.740347220962865E-6
91.0	3.2096891528394596E-6
92.0	8.024222882098649E-7
93.0	1.6048445764197298E-7
94.0	3.2096891528394596E-7
95.0	1.6048445764197298E-7
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.027100528908627E-5
