#Position (bp)	mapping quality
4124013.5	19.074034766811174
1.23720395E7	25.44758644495713
2.06200655E7	10.260675445097363
2.88680915E7	30.14832029648849
3.71161175E7	33.19155998215843
4.53641435E7	29.840182606278848
5.36121695E7	11.618383641902867
6.18601955E7	16.57090304145532
7.01082215E7	22.81463502944312
7.83562475E7	11.59361512062047
8.66042735E7	18.165690717027605
9.48522995E7	16.840818281571156
1.031003255E8	27.662573528558667
1.113483515E8	22.851016937025637
1.195963775E8	19.328731633738986
1.278444035E8	0.00623599481070881
1.360924295E8	0.0
1.443404555E8	69.18649189188264
1.525884815E8	47.65909703419994
1.608365075E8	24.72337515457049
1.690845335E8	21.629939250729066
1.773325595E8	13.107320513220042
1.855805855E8	33.51185003702391
1.938286115E8	69.93604286629783
2.020766375E8	43.809063220148175
2.103246635E8	27.96519757051568
2.185726895E8	25.859173846928126
2.268207155E8	21.061247659368373
2.350687415E8	22.533795450424186
2.433167675E8	15.350342209414253
2.481986015E8	23.194513189244727
2.523226145E8	31.59859420688104
2.598128195E8	12.46550396810071
2.680608455E8	17.375981182318668
2.763088715E8	10.36957504450303
2.845568975E8	8.937481250227307
2.928049235E8	22.035717716312835
3.010529495E8	12.620058493909871
3.093009755E8	23.387789758229577
3.175490015E8	15.723527134471913
3.257970275E8	11.67165928830577
3.340450535E8	12.924512461045454
3.422930795E8	40.086776643308255
3.505411055E8	27.628882293849998
3.587891315E8	19.118730229554092
3.670371575E8	20.760631962222487
3.752851835E8	9.52196201451228
3.810815205E8	33.27954812485171
3.852055335E8	25.36630787408054
3.917812355E8	43.66662037681608
4.000292615E8	14.979429836102351
4.082772875E8	28.044785107238905
4.165253135E8	14.823835842665284
4.247733395E8	13.891224676822933
4.330213655E8	17.455555968276222
4.412693915E8	42.70952215105974
4.495174175E8	44.58838839664049
4.577654435E8	23.380173732404504
4.660134695E8	11.606512479583829
4.742614955E8	20.669320447596988
4.825095215E8	41.68266660782374
4.907575475E8	20.978810089094306
4.990055735E8	29.106199303244228
5.072535995E8	42.179172977046676
5.146090395E8	17.71224469620816
5.178906245E8	5.988577721789234
5.187832105E8	15.964492869346932
5.237496515E8	56.47895894988227
5.319976775E8	14.486403822771138
5.402457035E8	17.58598358283028
5.484937295E8	17.66457567471546
5.567417555E8	12.140017858720972
5.649897815E8	43.220054463405454
5.732378075E8	36.78942583146356
5.814858335E8	14.004650161325145
5.897338595E8	16.10842625170235
5.979818855E8	13.34889681312301
6.062299115E8	98.03416180136706
6.144779375E8	19.38791537522119
6.227259635E8	25.416736614518133
6.309739895E8	20.89677663653286
6.392220155E8	36.86962957421483
6.4728106E8	19.032702964822484
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	0.0
6.722141195E8	13.243993356575638
6.804621455E8	15.365215515477589
6.887101715E8	22.732683338816308
6.969581975E8	26.499787821304235
7.052062235E8	26.74377900453427
7.134542495E8	5.079610948502011
7.217022755E8	10.562906271418694
7.299503015E8	18.717960667469608
7.381983275E8	10.778180354267311
7.464463535E8	8.127486630036433
7.546943795E8	12.825692254313083
7.62199406E8	18.025493140175602
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	0.0
7.876864835E8	30.544399831838142
7.959345095E8	13.033863476227882
8.041825355E8	15.095270847226894
8.124305615E8	27.766896234145147
8.206785875E8	15.15552041476431
8.289266135E8	19.5069611154514
8.371746395E8	26.64287662493391
8.454226655E8	21.102029863385898
8.536706915E8	20.964345546405596
8.619187175E8	12.296411450675285
8.69333434E8	0.2337686525960641
8.72724992E8	0.0
8.72931433E8	255.0
8.731340445E8	0.0
8.73326804E8	5.488569819542275
8.73441596E8	0.0
8.73480431E8	0.0
8.735866135E8	0.0
8.73694888E8	206.21951219512195
8.74003757E8	0.0
8.784147695E8	0.0
8.866627955E8	0.0
8.949108215E8	13.676784160687413
9.031588475E8	13.795225309166353
9.114068735E8	31.683231349115328
9.196548995E8	17.890842756871592
9.279029255E8	19.331950224454005
9.361509515E8	24.89112899096724
9.443989775E8	24.703696602390067
9.526470035E8	18.775479593181554
9.608950295E8	25.516045315121715
9.691430555E8	7.818466119834973
9.744875075E8	27.41666695207603
9.759320705E8	1.0
9.788356445E8	42.113917445677615
9.856391075E8	16.225811138030306
9.938871335E8	12.218431885166549
1.0021351595E9	29.892667996798448
1.0103831855E9	54.229421608616775
1.0186312115E9	31.6009743586264
1.0268792375E9	21.87688128853503
1.0351272635E9	23.74414157442993
1.0433752895E9	22.40934790481708
1.0516233155E9	25.66978103750789
1.0598713415E9	14.762592167254942
1.065244947E9	31.996978391507756
1.067430919E9	37.81720711297071
1.0703053395E9	11.594132759004474
1.0763673935E9	39.22259658027442
1.0846154195E9	35.27628050900304
1.0928634455E9	33.040368141044134
1.1011114715E9	31.11605074515067
1.1093594975E9	41.333578442081254
1.1176075235E9	30.49727387938518
1.1258555495E9	40.85710040009396
1.1341035755E9	24.49513582095374
1.1423516015E9	24.61004648285885
1.149050177E9	43.75970709328062
1.151717535E9	8.490351366424987
1.15195075E9	0.0
1.152147445E9	0.0
1.1534636805E9	18.581256791841458
1.1588476535E9	15.989300540546541
1.1670956795E9	12.29794815230295
1.1753437055E9	16.645549487443585
1.1835917315E9	17.713369436362136
1.1918397575E9	13.936134735705474
1.2000877835E9	22.654761132912597
1.2083358095E9	11.105208178252116
1.2165838355E9	24.92705460100845
1.2248318615E9	24.071407122325716
1.23076644E9	12.605620119776818
1.234890453E9	32.539161126187054
1.2413279135E9	36.33929919168935
1.2495759395E9	36.78346715605436
1.2578239655E9	33.23804327913208
1.2660719915E9	24.214741632577386
1.2743200175E9	25.173564257877395
1.2825680435E9	47.25928356473617
1.288943339E9	28.386781870071843
1.291282149E9	47.36987732441871
1.2913856925E9	0.0
1.2914655495E9	0.0
1.2915628205E9	0.0
1.2916163385E9	8.19571465900183
1.2916575315E9	23.13681228224664
1.291766658E9	0.0
1.291875052E9	65.56634016028495
1.291916283E9	0.0
1.293438612E9	22.508118213824982
1.2990640955E9	16.17394332856878
1.3073121215E9	11.279875778610482
1.3155601475E9	24.250562174459652
1.3238081735E9	10.507434089800771
1.3320561995E9	20.77963325095231
1.3403042255E9	14.828899918331054
1.3485522515E9	17.843956454386213
1.3568002775E9	19.24565123397053
1.3650483035E9	21.80435072452277
1.3732963295E9	34.453993821433855
1.3815443555E9	3.668858296350765
1.3897923815E9	27.19251754803776
1.3980404075E9	9.214078573632195
1.4062884335E9	17.96620469181178
1.4145364595E9	9.4487802784952
1.4227844855E9	29.424292251910153
1.4310325115E9	25.054834335247467
1.4392805375E9	2.593360458121387
1.4475285635E9	18.523393288883945
1.4557765895E9	18.29030272782771
1.4640246155E9	15.988181816562049
1.4722726415E9	20.76678293074815
1.4805206675E9	28.92459752725065
1.4887686935E9	32.35184959316792
1.4970167195E9	28.025113227821816
1.5052647455E9	11.51649179724087
1.5135127715E9	29.243746468047426
1.5217607975E9	23.676097318731014
1.5300077405E9	20.017082674508217
1.5341317535E9	0.0
1.5382568495E9	26.19252204211905
1.5465048755E9	13.055466820247963
1.5547529015E9	18.343388706254594
1.5630009275E9	15.202312949126098
1.5712489535E9	13.64000494467648
1.5794969795E9	41.66692065886925
1.5877450055E9	30.562057569479066
1.595221928E9	38.56331265358291
1.599345941E9	0.0
1.6042410575E9	0.5992687642181279
1.6124890835E9	18.21564311269233
1.6207371095E9	4.96660287582686
1.6289851355E9	15.090772495987558
1.6372331615E9	22.401077036742358
1.6433209975E9	21.12032373604113
1.6474450105E9	0.0
1.6537292135E9	8.61753833857835
1.6619772395E9	21.222854086762375
1.6702252655E9	14.309442002335325
1.6784732915E9	24.899366926072087
1.6867213175E9	26.824118068490584
1.6934743095E9	22.07236548647061
1.6961786655E9	1.4244306418219461
1.696274814E9	0.0
1.6963854715E9	27.708286534287225
1.6965578825E9	29.23332584269663
1.696661813E9	0.0
1.6967741785E9	0.0
1.6969170575E9	0.0
1.697018664E9	0.0
1.697105344E9	0.0
1.697223072E9	0.0
1.697380707E9	0.0
1.6982754815E9	255.0
1.7032173695E9	23.936613348447136
1.7114653955E9	16.20079430485556
1.7197134215E9	42.84797779382837
1.7279614475E9	14.108865243621404
1.7362094735E9	39.89510046081315
1.7444574995E9	22.93565430735743
1.7527055255E9	24.270756956809784
1.7609535515E9	4.245498525103075
1.7692015775E9	24.453034870535216
1.7774496035E9	3.533365169045715
1.7856976295E9	45.326656729476476
1.7939456555E9	8.261152038992654
1.8021936815E9	18.121208124053812
1.8104417075E9	20.689109752846893
1.8186897335E9	11.946830489932548
1.8269377595E9	25.868178188971868
1.8351857855E9	17.05645407877994
1.8434338115E9	11.372574438246266
1.8516818375E9	30.04148448023583
1.8599298635E9	19.185909248408464
1.8681778895E9	16.225545773161688
1.8764259155E9	20.968754767465057
1.8846739415E9	30.07353141556031
1.89227556E9	25.519397908394236
1.895830864E9	3.0996665706935143
