#Coverage (X)	Coverage
1.0	3.930062574594402
2.0	2.5928235240799893
3.0	1.8984732181217936
4.0	1.5654022747716425
5.0	1.3428664279110052
6.0	1.2030889979963604
7.0	1.0955377066855618
8.0	1.0158850938195911
9.0	0.9505829161912516
10.0	0.8973191051811256
11.0	0.8514423958444013
12.0	0.8121007660404018
13.0	0.7772778543003511
14.0	0.7464189520793667
15.0	0.7185709827430884
16.0	0.6933736782316089
17.0	0.6702788467115539
18.0	0.6491289050057674
19.0	0.6294374033335401
20.0	0.611348436794728
21.0	0.5944898253869866
22.0	0.5786813138392262
23.0	0.5639468472774212
24.0	0.5498288010028887
25.0	0.5366488883916958
26.0	0.5242913847717148
27.0	0.5125190515340989
28.0	0.5014169090311924
29.0	0.4909384612842018
30.0	0.48092697380400296
31.0	0.4713107930743803
32.0	0.4621134095670243
33.0	0.4533303070493133
34.0	0.4449057752155028
35.0	0.4366332494661975
36.0	0.4287601223560813
37.0	0.4211776102685576
38.0	0.41399498178481053
39.0	0.40698684961780884
40.0	0.4002746064631708
41.0	0.39374962025570426
42.0	0.3874352905362457
43.0	0.3812895163174801
44.0	0.3754072294152877
45.0	0.36967497842900343
46.0	0.3640933998746476
47.0	0.3587377238821716
48.0	0.35353599383250867
49.0	0.3484720543432047
50.0	0.3435813987592127
51.0	0.33881713706801975
