#Read position (bp)	Clipping profile
0.0	4.572791355661785
1.0	3.0276929456167925
2.0	1.7809840655331617
3.0	1.6871237897261935
4.0	1.594285258650529
5.0	1.5306251240332276
6.0	1.4430784865378978
7.0	1.3654401971091552
8.0	1.312080508676616
9.0	1.2376076244938714
10.0	1.1940103205948764
11.0	1.1596573737886242
12.0	1.1294114401180027
13.0	1.10092279290402
14.0	1.0669819784263608
15.0	1.0403736849615832
16.0	1.0121826888738066
17.0	0.9852109175914506
18.0	0.9603770827636702
19.0	0.9368884020639358
20.0	0.9065222631308079
21.0	0.8814537418381343
22.0	0.8565140118981459
23.0	0.8285949086660381
24.0	0.7977422246227658
25.0	0.773417831145607
26.0	0.749900530145276
27.0	0.7298233892766717
28.0	0.7073822115787777
29.0	0.6870389019146237
30.0	0.6668272456332147
31.0	0.6469046543878327
32.0	0.6268990642707201
33.0	0.6083159030932649
34.0	0.5898128787574806
35.0	0.5701650423978271
36.0	0.5518995665569956
37.0	0.5323976937303855
38.0	0.5141865964606877
39.0	0.4958638800186628
40.0	0.47098711473998717
41.0	0.45362031633789285
42.0	0.4381968363463164
43.0	0.4230423871803492
44.0	0.40727260155155226
45.0	0.3955754846976698
46.0	0.3831657223589287
47.0	0.3721383205390095
48.0	0.3624045563060625
49.0	0.35049564922776416
50.0	0.33842933049618384
51.0	0.32228175689951016
52.0	0.3173934095575891
53.0	0.3108708430515949
54.0	0.2973305788392831
55.0	0.28481492138833414
56.0	0.2794343048761494
57.0	0.27180985679718117
58.0	0.2628087722595103
59.0	0.2558597632746249
60.0	0.24847000166054986
61.0	0.2425570475572659
62.0	0.237265153976931
63.0	0.23409402467081358
64.0	0.22948329424468078
65.0	0.2248095991572352
66.0	0.2228977630773738
67.0	0.22008724955877515
68.0	0.21631509394012646
69.0	0.21187608531757401
70.0	0.20949201427786662
71.0	0.20766890112985506
72.0	0.20710221917803984
73.0	0.2080323789474335
74.0	0.20707073684738345
75.0	0.20648115865509087
76.0	0.2010919560527271
77.0	0.20479828498000327
78.0	0.20908560600939305
79.0	0.2129922770408464
80.0	0.2181496552083767
81.0	0.2218788803761303
82.0	0.2269589837320494
83.0	0.23210491377934103
84.0	0.2381266250248925
85.0	0.24509853025025535
86.0	0.2522364332190792
87.0	0.2583869358173159
88.0	0.2662203120906403
89.0	0.27376748535799733
90.0	0.281938581178363
91.0	0.28990074880437267
92.0	0.30252802542764884
93.0	0.31408204077854773
94.0	0.3252239238008538
95.0	0.33968003763226085
96.0	0.352745204854667
97.0	0.3731514791801337
98.0	0.38648281519808936
99.0	0.40028638617589113
100.0	0.41481405075879
101.0	0.43343728035708057
102.0	0.45196033890328263
103.0	0.46800201738774844
104.0	0.48427265827698807
105.0	0.5015535957772922
106.0	0.5184710554600178
107.0	0.5336541249265817
108.0	0.5534994413603526
109.0	0.5734907213271668
110.0	0.594566710686597
111.0	0.6117045466839175
112.0	0.6322625086025468
113.0	0.6550643020879596
114.0	0.6763120132509702
115.0	0.7001842059787007
116.0	0.722737002848922
117.0	0.7465376448251606
118.0	0.7734865198670392
119.0	0.7936724178779112
120.0	0.8185749414271238
121.0	0.8412965980708658
122.0	0.8663593953034201
123.0	0.8874840391738646
124.0	0.9083253420684017
125.0	0.9302513543555546
126.0	0.9529587008489984
127.0	0.9755372559897567
128.0	1.0023573396789502
129.0	1.0298185181015103
130.0	1.0585389897503261
131.0	1.0876343873369594
132.0	1.1221790901572095
133.0	1.1654243643588649
134.0	1.2142878035676579
135.0	1.2621924627064605
136.0	1.3201170890841774
137.0	1.4052653453895014
138.0	1.4864525520922385
139.0	1.6882800498703012
140.0	1.7949708064347825
141.0	1.5725824847080305
142.0	1.751487983738174
