#Position (bp)	Coverage	Std
4124013.5	35.415038095175746	70.75806814354613
1.23720395E7	46.33632641313206	102.95438465998194
2.06200655E7	81.27793729069234	72.27652443109756
2.88680915E7	63.08702688376589	155.3546284401187
3.71161175E7	38.435221833684814	98.90954302082892
4.53641435E7	21.593564448026715	104.09412916940255
5.36121695E7	16.873243973770208	17.505254295449003
6.18601955E7	6.981423191439988	9.710908284668104
7.01082215E7	3.630486494586705	5.798696400137717
7.83562475E7	3.356663521671731	2.677762168129522
8.66042735E7	10.903858692976963	16.05585262972651
9.48522995E7	12.025524167843312	50.1417123381421
1.031003255E8	1.003189854154194	1.9736225759756698
1.113483515E8	22.252499204051976	34.76259754911413
1.195963775E8	6.11578746235766	8.439458514039222
1.278444035E8	0.032896113567052285	0.01335915209498073
1.360924295E8	0.0	0.0
1.443404555E8	5.3118861409990705	69.04165511006097
1.525884815E8	150.5590099982711	1989.9493914305374
1.608365075E8	65.36809304432357	176.83347374976177
1.690845335E8	19.729970662071143	64.53311677685899
1.773325595E8	15.604843995399627	16.66276359828416
1.855805855E8	19.58564546232032	64.27466266944353
1.938286115E8	4.411691597480416	73.66949874744242
2.020766375E8	13.529178254287753	40.5261900107252
2.103246635E8	14.08815563869464	45.201637235203556
2.185726895E8	2.2442300739595145	4.987495338697947
2.268207155E8	26.123715298666614	100.92663555978815
2.350687415E8	5.998008856907095	8.908994860516987
2.433167675E8	4.741701590174425	5.289362364013793
2.481986015E8	9.44459047717073	11.04419034294918
2.523226145E8	8.728089633627553	21.62649495851242
2.598128195E8	11.54928427723191	13.204069941393511
2.680608455E8	19.362416655815586	72.82391763912926
2.763088715E8	11.39091838459287	8.537532088106897
2.845568975E8	7.240608116414764	6.877047894986745
2.928049235E8	7.8343648528751	23.686394164762476
3.010529495E8	2.935128478014012	2.5638637245983746
3.093009755E8	2.8473387450524528	6.7963395719927435
3.175490015E8	175.80788457747346	566.6112450047428
3.257970275E8	41.95992798761789	77.81281820450629
3.340450535E8	7.025523804119919	9.757047042941023
3.422930795E8	11.357216744952066	35.941230425331376
3.505411055E8	15.273208037899007	18.830469544397133
3.587891315E8	4.447592551235895	5.737878084041776
3.670371575E8	4.548748027709903	5.422880456401156
3.752851835E8	12.49016892041805	6.592051195413079
3.810815205E8	12.167716303778455	35.16889595851654
3.852055335E8	130.2680025892354	332.00420419607616
3.917812355E8	23.727962060255386	291.50326623014143
4.000292615E8	16.857781849863226	42.12908265458046
4.082772875E8	0.5361560450949112	2.5712722705026265
4.165253135E8	16.611976732372085	22.726970441562294
4.247733395E8	8.285620462399125	11.764653277224143
4.330213655E8	24.059005027384735	65.97381102201845
4.412693915E8	60.638762414182494	430.1756948307189
4.495174175E8	62.410041263206494	144.8876577797688
4.577654435E8	35.10722735355102	115.25744055334413
4.660134695E8	7.508175410698269	10.019063449501429
4.742614955E8	4.1670066267977335	7.168770879633964
4.825095215E8	4.477979337116541	27.240016930451645
4.907575475E8	4.7309243448068665	12.310657271208477
4.990055735E8	15.08249792132081	59.00313123317476
5.072535995E8	7.437099858802579	36.8214382537294
5.146090395E8	10.818512688047726	17.515334467167456
5.178906245E8	25.923402049523506	21.458719993107078
5.187832105E8	11.79249561980371	7.6527487467631
5.237496515E8	29.625396549428917	307.1718698209514
5.319976775E8	39.11811129111378	112.89447378654134
5.402457035E8	3.271120871830423	7.666377435221782
5.484937295E8	6.565774647170123	6.979900462315852
5.567417555E8	3.3899710063959545	3.741086514802179
5.649897815E8	18.06655931976936	82.75420588741001
5.732378075E8	59.30946604678501	183.76391409423232
5.814858335E8	10.117547277372791	10.71452370417209
5.897338595E8	50.6726558572924	231.04270225549323
5.979818855E8	7.531293669539839	11.7291400163203
6.062299115E8	1.4167393507246462	24.6526931245504
6.144779375E8	13.188404716473977	27.026186716865933
6.227259635E8	15.455613500733387	40.85827476277235
6.309739895E8	27.748935442250062	71.8889771838282
6.392220155E8	34.250909369102374	189.898729251028
6.4728106E8	9.741734468961685	13.819518144387521
6.51405073E8	0.0	0.0
6.557180675E8	0.0	0.0
6.639660935E8	0.0	0.0
6.722141195E8	6.429037687320578	8.499066110281731
6.804621455E8	27.57262428610191	95.74503753483191
6.887101715E8	3.4108215711250183	4.841193340739235
6.969581975E8	50.25840898173696	261.57643751018134
7.052062235E8	6.377958556386704	29.431902197765577
7.134542495E8	0.38332056664224873	0.23647548078908806
7.217022755E8	1.6679102369463918	1.384556953706446
7.299503015E8	2.649174844987152	7.1571437893097425
7.381983275E8	0.012648844705387689	0.03468013867632393
7.464463535E8	6.750800737049083	5.892638577338439
7.546943795E8	4.38119545209969	7.174669071703573
7.62199406E8	14.350869643081875	19.47117583361618
7.66323419E8	0.0	0.0
7.711904315E8	0.0	0.0
7.794384575E8	0.0	0.0
7.876864835E8	44.28713076316685	179.24212841342472
7.959345095E8	1.4020387423608995	1.271094176856722
8.041825355E8	9.455264447517504	12.89710644545775
8.124305615E8	7.231980597539338	33.52277100749256
8.206785875E8	10.701380063544901	8.991568795351927
8.289266135E8	8.557546860303301	11.771272174821071
8.371746395E8	34.02275489917224	105.40257402753954
8.454226655E8	2.9125752028424743	3.8676803943437057
8.536706915E8	7.363630279535976	15.33743867000067
8.619187175E8	27.889215552909267	54.57040489965396
8.69333434E8	1974.9020290038286	729.1426577337015
8.72724992E8	0.0	0.0
8.72931433E8	0.001093889843872086	0.03307400556134811
8.731340445E8	0.0	0.0
8.73326804E8	8.476484443956986	1.7491032244972495
8.73441596E8	0.0	0.0
8.73480431E8	0.0	0.0
